,Market,Submarket,Population,Period,Years,CAGR,NOI Cap Rate Comp.,Fixed Interest Rate,Opt. Cash Flow,Mkt Cap Rate Apr. bp,XIRR,Equity Multiple
Athens - GA USA - Eastside Athens ,Athens - GA,Eastside Athens ,223340.0,2024-12 to 2029-12,5,0.07044330101589402,0.02678104318250587,0.07039999999999999,-0.04361895681749412,92.0,0.12045630996049983,1.8204118525684359
Athens - GA USA - North Athens ,Athens - GA,North Athens ,223340.0,2024-12 to 2029-12,5,0.06632407898499548,0.056564344867290596,0.07039999999999999,-0.013835655132709394,92.0,0.169950030910063,2.1256162674755616
Athens - GA USA - Westside Athens ,Athens - GA,Westside Athens ,223340.0,2024-12 to 2029-12,5,0.06824878311310512,0.04188288239032273,0.07039999999999999,-0.02851711760967726,92.0,0.1449425868073937,1.973315524525697
Atlanta - GA USA - Barrow County,Atlanta - GA,Barrow County,6392512.0,2024-12 to 2029-12,5,0.0708286796760027,0.07424896087386117,0.07039999999999999,0.0038489608738611764,87.0,0.2117637490591595,2.4200902603606025
Atlanta - GA USA - Bartow County,Atlanta - GA,Bartow County,6392512.0,2024-12 to 2029-12,5,0.07597543686232355,0.039655112536884474,0.07039999999999999,-0.030744887463115517,87.0,0.15525713625296178,2.073075122244571
Atlanta - GA USA - Buckhead,Atlanta - GA,Buckhead,6392512.0,2024-12 to 2029-12,5,0.0724821373400868,0.04130957639889438,0.07039999999999999,-0.029090423601105607,87.0,0.15150215149067825,2.0356078538982745
Atlanta - GA USA - Cherokee County,Atlanta - GA,Cherokee County,6392512.0,2024-12 to 2029-12,5,0.07435854135856212,0.04739982873299338,0.07039999999999999,-0.02300017126700661,87.0,0.1663575242387647,2.1428758433833126
Atlanta - GA USA - Clayton County,Atlanta - GA,Clayton County,6392512.0,2024-12 to 2029-12,5,0.07848925779967053,0.060500178357801276,0.07039999999999999,-0.009899821642198714,87.0,0.1985566601540818,2.3759523472763293
Atlanta - GA USA - Coweta County,Atlanta - GA,Coweta County,6392512.0,2024-12 to 2029-12,5,0.07423217447464459,0.0455614274359784,0.07039999999999999,-0.02483857256402159,87.0,0.16295801435367574,2.1177918642153566
Atlanta - GA USA - Cumberland/Galleria,Atlanta - GA,Cumberland/Galleria,6392512.0,2024-12 to 2029-12,5,0.07407761719560546,0.0445112769296634,0.07039999999999999,-0.025888723070336593,87.0,0.1604663894128011,2.1020930055943987
Atlanta - GA USA - Dawson County,Atlanta - GA,Dawson County,6392512.0,2024-12 to 2029-12,5,0.07015882072864277,0.06043169042442395,0.07039999999999999,-0.00996830957557604,87.0,0.18396483796446916,2.2363784994004474
Atlanta - GA USA - Decatur/North Druid Hills,Atlanta - GA,Decatur/North Druid Hills,6392512.0,2024-12 to 2029-12,5,0.07242678539789904,0.044302548761160174,0.07039999999999999,-0.026097451238839817,87.0,0.1569839950410179,2.0721047192676902
Atlanta - GA USA - Douglas County,Atlanta - GA,Douglas County,6392512.0,2024-12 to 2029-12,5,0.07381662186216542,0.055060640890863065,0.07039999999999999,-0.015339359109136926,87.0,0.1802285302534461,2.2296202087161427
Atlanta - GA USA - Downtown Atlanta,Atlanta - GA,Downtown Atlanta,6392512.0,2024-12 to 2029-12,5,0.07187727103268315,0.03338258330407398,0.07039999999999999,-0.03701741669592601,87.0,0.1351144938842248,1.9265287305947707
Atlanta - GA USA - Eastside Atlanta,Atlanta - GA,Eastside Atlanta,6392512.0,2024-12 to 2029-12,5,0.07381163001760815,0.040158481915896424,0.07039999999999999,-0.030241518084103566,87.0,0.1519257874090998,2.043260257942733
Atlanta - GA USA - Fayette County,Atlanta - GA,Fayette County,6392512.0,2024-12 to 2029-12,5,0.08215116332391603,0.05176949358793951,0.07039999999999999,-0.01863050641206048,87.0,0.18864241349420485,2.3291678098757727
Atlanta - GA USA - Forsyth County,Atlanta - GA,Forsyth County,6392512.0,2024-12 to 2029-12,5,0.07782370019573048,0.045904015866177594,0.07039999999999999,-0.024495984133822396,87.0,0.1700985902619856,2.1822588505894727
Atlanta - GA USA - Henry County,Atlanta - GA,Henry County,6392512.0,2024-12 to 2029-12,5,0.07521661505657695,0.048592169968843815,0.07039999999999999,-0.021807830031156175,87.0,0.1704657835868819,2.172092931655995
Atlanta - GA USA - Kennesaw,Atlanta - GA,Kennesaw,6392512.0,2024-12 to 2029-12,5,0.07527650521696261,0.050119720525363544,0.07039999999999999,-0.020280279474636446,87.0,0.1729245593514659,2.1921879994128908
Atlanta - GA USA - Midtown Atlanta,Atlanta - GA,Midtown Atlanta,6392512.0,2024-12 to 2029-12,5,0.07339276454855992,0.03692954840772473,0.07039999999999999,-0.03347045159227526,87.0,0.14484372359198994,1.995942611540465
Atlanta - GA USA - Newton County,Atlanta - GA,Newton County,6392512.0,2024-12 to 2029-12,5,0.06842718482278598,0.046089900000294955,0.07039999999999999,-0.024310099999705036,87.0,0.1534673836517546,2.0288082284170574
Atlanta - GA USA - North Atlanta,Atlanta - GA,North Atlanta,6392512.0,2024-12 to 2029-12,5,0.07315984054998625,0.04014723456402,0.07039999999999999,-0.03025276543597999,87.0,0.1503590166698896,2.032300281853412
Atlanta - GA USA - North Fulton,Atlanta - GA,North Fulton,6392512.0,2024-12 to 2029-12,5,0.07567541202197381,0.04378718211356419,0.07039999999999999,-0.026612817886435804,87.0,0.16167236892035453,2.1197021674786276
Atlanta - GA USA - North Gwinnett,Atlanta - GA,North Gwinnett,6392512.0,2024-12 to 2029-12,5,0.07441849788594634,0.04499559558558103,0.07039999999999999,-0.025404404414418963,87.0,0.1620515165760148,2.1138215298664536
Atlanta - GA USA - Northlake,Atlanta - GA,Northlake,6392512.0,2024-12 to 2029-12,5,0.07575886265299858,0.050318782086769064,0.07039999999999999,-0.020081217913230927,87.0,0.17451322439194739,2.202743959948341
Atlanta - GA USA - Outlying Gwinnett County,Atlanta - GA,Outlying Gwinnett County,6392512.0,2024-12 to 2029-12,5,0.07508860796482497,0.04365100064416258,0.07039999999999999,-0.02674899935583741,87.0,0.16064246292800166,2.108190232378141
Atlanta - GA USA - Paulding County,Atlanta - GA,Paulding County,6392512.0,2024-12 to 2029-12,5,0.08889313179261538,0.035896328667606725,0.07039999999999999,-0.034503671332393265,87.0,0.17166941032437522,2.247773185611879
Atlanta - GA USA - Rockdale County,Atlanta - GA,Rockdale County,6392512.0,2024-12 to 2029-12,5,0.07457562184419353,0.047426394904854695,0.07039999999999999,-0.022973605095145296,87.0,0.16708899607478034,2.1468245437376767
Atlanta - GA USA - Sandy Springs/Dunwoody,Atlanta - GA,Sandy Springs/Dunwoody,6392512.0,2024-12 to 2029-12,5,0.07629865917812007,0.04414505833771825,0.07039999999999999,-0.02625494166228174,87.0,0.16384955481362962,2.134617977501395
Atlanta - GA USA - South Atlanta,Atlanta - GA,South Atlanta,6392512.0,2024-12 to 2029-12,5,0.07052972201082253,0.03661976349242049,0.07039999999999999,-0.0337802365075795,87.0,0.13887997707794253,1.9448144372305765
Atlanta - GA USA - South Fulton,Atlanta - GA,South Fulton,6392512.0,2024-12 to 2029-12,5,0.07248346943619266,0.05308784715490833,0.07039999999999999,-0.01731215284509166,87.0,0.17284428841816868,2.1828582679641335
Atlanta - GA USA - Southeast DeKalb,Atlanta - GA,Southeast DeKalb,6392512.0,2024-12 to 2029-12,5,0.07554768352023622,0.03565413946867402,0.07039999999999999,-0.03474586053132597,87.0,0.14612773852884864,2.015902059935321
Atlanta - GA USA - West Midtown Atlanta,Atlanta - GA,West Midtown Atlanta,6392512.0,2024-12 to 2029-12,5,0.07213148257375357,0.03855569049804991,0.07039999999999999,-0.03184430950195008,87.0,0.14547292050023075,1.9953891120233922
Atlanta - GA USA - Westside Atlanta,Atlanta - GA,Westside Atlanta,6392512.0,2024-12 to 2029-12,5,0.06788093499517944,0.0542002572021845,0.07039999999999999,-0.01619974279781549,87.0,0.16790652300026077,2.1212990197179753
Atlantic City - NJ USA - Atlantic City,Atlantic City - NJ,Atlantic City,273926.0,2024-12 to 2029-12,5,0.06866182435659307,0.06689218469950044,0.07039999999999999,-0.0035078153004995533,118.0,0.19453040160407054,2.29266046831599
Atlantic City - NJ USA - Central Atlantic County,Atlantic City - NJ,Central Atlantic County,273926.0,2024-12 to 2029-12,5,0.07124671600407373,0.05842958773496029,0.07039999999999999,-0.011970412265039698,118.0,0.1823699903380338,2.229224210612693
Augusta - GA USA - Central Augusta,Augusta - GA,Central Augusta,631310.0,2024-12 to 2029-12,5,0.06505227819665715,0.05210540930880843,0.07039999999999999,-0.018294590691191562,92.0,0.15872930190943735,2.0493750341975607
Augusta - GA USA - Columbia County,Augusta - GA,Columbia County,631310.0,2024-12 to 2029-12,5,0.06358566971310808,0.07365522085687384,0.07039999999999999,0.0032552208568738528,92.0,0.19862778542055382,2.2952236424987853
Augusta - GA USA - North Augusta,Augusta - GA,North Augusta,631310.0,2024-12 to 2029-12,5,0.05830871688954886,0.04972297008693315,0.07039999999999999,-0.020677029913066837,92.0,0.14166337670053686,1.9124960305059395
Augusta - GA USA - Outlying Aiken County,Augusta - GA,Outlying Aiken County,631310.0,2024-12 to 2029-12,5,0.06891180330668467,0.04906692505254682,0.07039999999999999,-0.021333074947453172,92.0,0.15995422870950282,2.073922071037937
Austin - TX USA - Bastrop County,Austin - TX,Bastrop County,2533612.0,2024-12 to 2029-12,5,0.06798124790751325,0.09434555927555313,0.07039999999999999,0.02394555927555314,96.0,0.24760957279709173,2.6247462423663226
Austin - TX USA - Cedar Park,Austin - TX,Cedar Park,2533612.0,2024-12 to 2029-12,5,0.07747684206493166,0.04626367039242957,0.07039999999999999,-0.024136329607570423,96.0,0.16967063706350216,2.1809069910409202
Austin - TX USA - Central Austin,Austin - TX,Central Austin,2533612.0,2024-12 to 2029-12,5,0.07699885746116863,0.04428174732976586,0.07039999999999999,-0.026118252670234134,96.0,0.1655932456098057,2.1480871314850063
Austin - TX USA - Downtown Austin,Austin - TX,Downtown Austin,2533612.0,2024-12 to 2029-12,5,0.07783786881430554,0.0372714428922546,0.07039999999999999,-0.03312855710774539,96.0,0.1534064227899965,2.0745907115053477
Austin - TX USA - East Austin,Austin - TX,East Austin,2533612.0,2024-12 to 2029-12,5,0.07712232141373665,0.03794132604087242,0.07039999999999999,-0.03245867395912757,96.0,0.15344190595549456,2.070908742159883
Austin - TX USA - Far North Austin,Austin - TX,Far North Austin,2533612.0,2024-12 to 2029-12,5,0.0767594792501225,0.042979533608359245,0.07039999999999999,-0.027420466391640745,96.0,0.16170030354903298,2.1277854176037474
Austin - TX USA - Hill Country,Austin - TX,Hill Country,2533612.0,2024-12 to 2029-12,5,0.06719146449837399,0.04318649475819942,0.07039999999999999,-0.02721350524180057,96.0,0.14550640844691176,1.9724337384051993
Austin - TX USA - Lake Travis,Austin - TX,Lake Travis,2533612.0,2024-12 to 2029-12,5,0.08136570412883692,0.04781212293581477,0.07039999999999999,-0.02258787706418522,96.0,0.17991490891031026,2.2662558591216557
Austin - TX USA - Midtown Austin,Austin - TX,Midtown Austin,2533612.0,2024-12 to 2029-12,5,0.07490632319027002,0.038153211998132874,0.07039999999999999,-0.032246788001867116,96.0,0.1498057543240343,2.036424956814849
Austin - TX USA - North Austin,Austin - TX,North Austin,2533612.0,2024-12 to 2029-12,5,0.07827611628228603,0.045491415340518065,0.07039999999999999,-0.024908584659481925,96.0,0.17009670617628014,2.184739764428712
Austin - TX USA - Northeast Austin,Austin - TX,Northeast Austin,2533612.0,2024-12 to 2029-12,5,0.07493349243961744,0.03588285762079784,0.07039999999999999,-0.03451714237920215,96.0,0.14572208345865723,2.0084989381247116
Austin - TX USA - Northwest Austin,Austin - TX,Northwest Austin,2533612.0,2024-12 to 2029-12,5,0.07570556004046392,0.05198727614273035,0.07039999999999999,-0.018412723857269643,96.0,0.17743672766792984,2.222707908975426
Austin - TX USA - Pflugerville,Austin - TX,Pflugerville,2533612.0,2024-12 to 2029-12,5,0.07527405240363572,0.04437193266395132,0.07039999999999999,-0.02602806733604867,96.0,0.16264937095575194,2.1202996634823936
Austin - TX USA - Riverside,Austin - TX,Riverside,2533612.0,2024-12 to 2029-12,5,0.0774898855186279,0.04060808783140134,0.07039999999999999,-0.029791912168598653,96.0,0.159439116919313,2.1104319671361598
Austin - TX USA - Round Rock,Austin - TX,Round Rock,2533612.0,2024-12 to 2029-12,5,0.07759183182444129,0.04541836278584934,0.07039999999999999,-0.02498163721415065,96.0,0.16855370245530654,2.1722783777058927
Austin - TX USA - San Marcos,Austin - TX,San Marcos,2533612.0,2024-12 to 2029-12,5,0.07211714814734482,0.044403713224708555,0.07039999999999999,-0.025996286775291436,96.0,0.1532885183963837,2.0682526565033896
Austin - TX USA - South Austin,Austin - TX,South Austin,2533612.0,2024-12 to 2029-12,5,0.07608457953035441,0.046514199930143,0.07039999999999999,-0.023885800069856987,96.0,0.1680498096130052,2.1606426658422153
Austin - TX USA - South Central Austin,Austin - TX,South Central Austin,2533612.0,2024-12 to 2029-12,5,0.08095160441540816,0.04574360699698477,0.07039999999999999,-0.02465639300301522,96.0,0.17515224280508335,2.2333269142048255
Austin - TX USA - Southeast Austin,Austin - TX,Southeast Austin,2533612.0,2024-12 to 2029-12,5,0.07736072004926364,0.039411584558561565,0.07039999999999999,-0.030988415441438426,96.0,0.15687834730946393,2.0932999456015216
Austin - TX USA - Southwest Austin,Austin - TX,Southwest Austin,2533612.0,2024-12 to 2029-12,5,0.07718631873232495,0.04444802597942223,0.07039999999999999,-0.025951974020577757,96.0,0.16622005381453642,2.1533194115393473
Austin - TX USA - West Austin,Austin - TX,West Austin,2533612.0,2024-12 to 2029-12,5,0.07482889919755853,0.04784289316102765,0.07039999999999999,-0.022557106838972343,96.0,0.16830405721925512,2.1562541409989437
Bakersfield - CA USA - Central Bakersfield,Bakersfield - CA,Central Bakersfield,913475.0,2024-12 to 2029-12,5,0.06774869898131852,0.0399482599857956,0.07039999999999999,-0.030451740014204393,86.0,0.14043075532485405,1.9410000192738308
Bakersfield - CA USA - Eastern Kern County,Bakersfield - CA,Eastern Kern County,913475.0,2024-12 to 2029-12,5,0.06379002229031672,0.09433197360611559,0.07039999999999999,0.023931973606115597,86.0,0.23972271262442924,2.5569530456538354
Bakersfield - CA USA - North Bakersfield,Bakersfield - CA,North Bakersfield,913475.0,2024-12 to 2029-12,5,0.06638586085576659,0.060660480996391083,0.07039999999999999,-0.009739519003608907,86.0,0.17773576361268684,2.177816538499739
Bakersfield - CA USA - South Bakersfield,Bakersfield - CA,South Bakersfield,913475.0,2024-12 to 2029-12,5,0.0669160911393143,0.056645052968958776,0.07039999999999999,-0.013754947031041215,86.0,0.17074987518016194,2.136203226813435
Bakersfield - CA USA - West Bakersfield,Bakersfield - CA,West Bakersfield,913475.0,2024-12 to 2029-12,5,0.0665903226916007,0.06397826919598305,0.07039999999999999,-0.006421730804016937,86.0,0.18441548129851704,2.222595221919235
Baltimore - MD USA - Annapolis,Baltimore - MD,Annapolis,2844376.0,2024-12 to 2029-12,5,0.07908775685136238,0.05155222367534408,0.07039999999999999,-0.01884777632465591,101.0,0.18289669049735124,2.274235464573615
Baltimore - MD USA - Canton,Baltimore - MD,Canton,2844376.0,2024-12 to 2029-12,5,0.0711407699611386,0.05335658119309342,0.07039999999999999,-0.017043418806906567,101.0,0.1722035002672886,2.1640679485248016
Baltimore - MD USA - Central Baltimore County,Baltimore - MD,Central Baltimore County,2844376.0,2024-12 to 2029-12,5,0.06652670425502616,0.04903643989710476,0.07039999999999999,-0.02136356010289523,101.0,0.1557136034593154,2.034793316877543
Baltimore - MD USA - Downtown Baltimore,Baltimore - MD,Downtown Baltimore,2844376.0,2024-12 to 2029-12,5,0.07361847869579496,0.052280139939135654,0.07039999999999999,-0.018119860060864336,101.0,0.17459087101889192,2.191572026408763
Baltimore - MD USA - East Anne Arundel County,Baltimore - MD,East Anne Arundel County,2844376.0,2024-12 to 2029-12,5,0.07750712896614309,0.05473910066009201,0.07039999999999999,-0.015660899339907983,101.0,0.18587298930157403,2.2873601640756025
Baltimore - MD USA - East Baltimore,Baltimore - MD,East Baltimore,2844376.0,2024-12 to 2029-12,5,0.07961389402183383,0.060380462733838285,0.07039999999999999,-0.010019537266161706,101.0,0.20029916544264603,2.393514507864441
Baltimore - MD USA - Federal Hill,Baltimore - MD,Federal Hill,2844376.0,2024-12 to 2029-12,5,0.07206359599526957,0.06059518514363893,0.07039999999999999,-0.00980481485636106,101.0,0.1875149458273766,2.26976172922255
Baltimore - MD USA - Harford County,Baltimore - MD,Harford County,2844376.0,2024-12 to 2029-12,5,0.0761299859752258,0.04774388395715896,0.07039999999999999,-0.022656116042841033,101.0,0.17074546941972168,2.1767748303289984
Baltimore - MD USA - Howard County,Baltimore - MD,Howard County,2844376.0,2024-12 to 2029-12,5,0.07646668026877235,0.052549371305537766,0.07039999999999999,-0.017850628694462224,101.0,0.18017462766864067,2.242491185143317
Baltimore - MD USA - North Baltimore City,Baltimore - MD,North Baltimore City,2844376.0,2024-12 to 2029-12,5,0.07114790927654546,0.060232563817635074,0.07039999999999999,-0.010167436182364917,101.0,0.18538805151128868,2.2501352098796996
Baltimore - MD USA - Northeast Baltimore City,Baltimore - MD,Northeast Baltimore City,2844376.0,2024-12 to 2029-12,5,0.06386133241939507,0.061465089900457265,0.07039999999999999,-0.008934910099542726,101.0,0.17653053651743233,2.147258675962416
Baltimore - MD USA - Northwest Baltimore City,Baltimore - MD,Northwest Baltimore City,2844376.0,2024-12 to 2029-12,5,0.0784738923465762,0.05079047177446421,0.07039999999999999,-0.01960952822553578,101.0,0.1804038570534794,2.254321174807214
Baltimore - MD USA - Queen Annes County,Baltimore - MD,Queen Annes County,2844376.0,2024-12 to 2029-12,5,0.0741278984247078,0.06451091774989239,0.07039999999999999,-0.005889082250107605,101.0,0.19887138844655716,2.3529250799509196
Baltimore - MD USA - Southeast Baltimore County,Baltimore - MD,Southeast Baltimore County,2844376.0,2024-12 to 2029-12,5,0.07508142385251015,0.056164213543893685,0.07039999999999999,-0.014235786456106306,101.0,0.1843406814214117,2.2644854286790377
Baltimore - MD USA - Southwest Baltimore County,Baltimore - MD,Southwest Baltimore County,2844376.0,2024-12 to 2029-12,5,0.0697772952805682,0.09903952086550949,0.07039999999999999,0.0286395208655095,101.0,0.25884029088743943,2.7127258505057075
Baltimore - MD USA - Towson,Baltimore - MD,Towson,2844376.0,2024-12 to 2029-12,5,0.07032021285785395,0.054625081703479905,0.07039999999999999,-0.015774918296520085,101.0,0.17305318306968576,2.1664426609723626
Baltimore - MD USA - West Anne Arundel County,Baltimore - MD,West Anne Arundel County,2844376.0,2024-12 to 2029-12,5,0.07856563327078492,0.05002256702236129,0.07039999999999999,-0.0203774329776387,101.0,0.17913935471388842,2.246273986073071
Baltimore - MD USA - West Baltimore City,Baltimore - MD,West Baltimore City,2844376.0,2024-12 to 2029-12,5,0.06424911377721698,0.04504745827166127,0.07039999999999999,-0.025352541728338722,101.0,0.14360801933861356,1.948252028659135
Baltimore - MD USA - West Baltimore County,Baltimore - MD,West Baltimore County,2844376.0,2024-12 to 2029-12,5,0.07644729989210819,0.05313819872124899,0.07039999999999999,-0.017261801278751,101.0,0.18118361058498822,2.24952624664568
